time_min,time_generations,TetR_mRNA,TetR_total,CI_mRNA,CI,LacI_mRNA,LacI,C31_mRNA,C31_protein,TetR_free,PLtetO1_activity,resource_availability,unthrottled_C31_demand_molecules_min,actual_C31_translation_flux_uM_h
1112.0,22.24,0.5524321426968155,587.4501604931963,0.0005217698612576864,20.037584585524208,5.425152589828917,54.0445773424234,0.7240489345105395,129.7597835448014,467.45274149809444,0.005021400832265368,1.0,0.36202446725526977,0.03606934626901047
1113.0,22.26,0.495996660226965,579.6225731270512,0.0005483670543951109,19.761986877954126,5.608406342755608,56.03980434285704,0.7241866389603249,128.33290286197268,459.6252882514417,0.005022512906386543,1.0,0.36209331948016243,0.03607620617756824
1114.0,22.28,0.44538132551484383,571.8762012844943,0.0005765309394396804,19.490196998420593,5.796220683223223,58.09969172699611,0.724332454809157,126.92573684339746,451.87905844288883,0.005023690604997749,1.0,0.3621662274045785,0.0360834701649762
1115.0,22.3,0.3999982523571686,564.2126681686085,0.0006063553809389308,19.222163324471115,5.988599654549517,60.22561518141437,0.7244868680318451,125.53801821878278,444.2156757596192,0.00502493794210051,1.0,0.36224343401592257,0.03609116244063906
1116.0,22.32,0.35931499244988124,556.6332967284798,0.0006379407029911868,18.957834992547255,6.185539419141237,62.41893151736364,0.7246503980469121,124.1694836469369,436.63646366850566,0.005026259211010324,1.0,0.36232519902345606,0.036099308879999285
1117.0,22.34,0.32285019787422603,549.1391401185575,0.0006713941675893885,18.697161890876014,6.387027885613463,64.68097491745033,0.7248236001931727,122.81987367896502,429.14247587799656,0.005027659005301288,1.0,0.36241180009658636,0.03610793714791081
1118.0,22.36,0.2901694233277185,541.7310098875134,0.0007068304877267229,18.440094652674432,6.593044350766869,67.01305306723968,0.7250070683862906,121.48893272308692,421.7345245297046,0.005029142241441494,1.0,0.3625035341931453,0.03611707683097849
1119.0,22.38,0.2608811290518507,534.4095015069294,0.0007443723863327112,18.1865846497383,6.803559162921154,69.41644315438158,0.7252014380126164,120.17640901144301,414.4132057300583,0.0050307141833686305,1.0,0.3626007190063082,0.036126759581718064
1120.0,22.4,0.23463289523112796,527.1750177230651,0.0007841511991757622,17.93658398639709,7.0185334074038295,71.89238776720208,0.7254073890506588,118.88205456879662,407.1789229052826,0.005032380469124372,1.0,0.3627036945253294,0.0361370192740559
1121.0,22.42,0.2111078742000591,520.0277897226439,0.0008263075290292479,17.690045493870056,7.237918619082326,74.44209069803748,0.7256256494579677,117.60562518331321,400.031907970671,0.0050341471397713335,1.0,0.36281282472898385,0.036147892172050514
1122.0,22.44,0.19002147797986496,512.9678963660779,0.0008709919533055072,17.44692272502644,7.461656524106259,77.06671267131459,0.7258569988348418,116.3468803794319,392.97224056759785,0.005036020670784505,1.0,0.3629284994174209,0.03615941711240448
1123.0,22.46,0.17111832360993598,505.9952814971018,0.000918365794563567,17.20716994959709,7.6896788167928385,79.76736700707775,0.7261022724135594,115.1055833930741,385.99986537726824,0.005038008006187942,1.0,0.3630511362067797,0.03617163570319267
1124.0,22.48,0.1541694100917513,499.10976958813444,0.000968601955549837,16.97074214984658,7.9219069724507865,82.54511524398823,0.7263623653817235,113.8815011492362,379.1146077705565,0.005040116595673684,1.0,0.36318118269086175,0.03618459253923468
1125.0,22.5,0.13896952263187465,492.3110798462846,0.0010218858256364172,16.73759501673529,8.15825209964674,85.40096274085451,0.726638237575259,112.6744042421193,372.31618791888354,0.005042354434993444,1.0,0.3633191187876295,0.03619833543588206
1126.0,22.52,0.125334870324099,485.5988388677333,0.0010784162681352712,16.5076849466047,8.398614837033218,88.33585427409717,0.7269309185901393,111.48406691796745,365.60423345390535,0.005044730109957189,1.0,0.3634654592950696,0.03621291568366492
1127.0,22.54,0.11310092840450428,478.9725920068222,0.00113840669370499,16.280969038419926,8.642885295597948,91.35066965670084,0.7272415133398479,110.31026706079142,358.97829084238435,0.005047252844382329,1.0,0.36362075666992394,0.036228388325143426
